pair,target,horizon_months,best_model,best_rmse,random_walk_rmse,rmse_improvement_vs_random_walk,n
EUR_USD,fx_return_1m,1,no_change,0.026572898695930686,0.026572898695930686,0.0,228
EUR_USD,fx_return_3m,3,no_change,0.045708328381013776,0.045708328381013776,0.0,228
EUR_USD,fx_return_6m,6,no_change,0.06716542400904976,0.06716542400904976,0.0,226
GBP_USD,fx_return_1m,1,no_change,0.02567518078798166,0.02567518078798166,0.0,231
GBP_USD,fx_return_3m,3,no_change,0.04773167045447118,0.04773167045447118,0.0,231
GBP_USD,fx_return_6m,6,no_change,0.0705951001440429,0.0705951001440429,0.0,231
USD_CAD,fx_return_1m,1,no_change,0.025635849274427545,0.025635849274427545,0.0,231
USD_CAD,fx_return_3m,3,no_change,0.04252955440673156,0.04252955440673156,0.0,231
USD_CAD,fx_return_6m,6,ridge,0.05870072749649144,0.05915017088445292,0.00044944338796148314,231
USD_JPY,fx_return_1m,1,no_change,0.02509899363412593,0.02509899363412593,0.0,147
USD_JPY,fx_return_3m,3,no_change,0.04553031842265862,0.04553031842265862,0.0,147
USD_JPY,fx_return_6m,6,no_change,0.06770652174025736,0.06770652174025736,0.0,147
USD_MXN,fx_return_1m,1,no_change,0.034899918281337775,0.034899918281337775,0.0,130
USD_MXN,fx_return_3m,3,no_change,0.06064508687886719,0.06064508687886719,0.0,130
USD_MXN,fx_return_6m,6,no_change,0.07745661331701775,0.07745661331701775,0.0,130
