pair,target,horizon_months,model_id,n,mae,rmse,directional_accuracy
EUR_USD,fx_return_1m,1,carry_diff,228,0.020030281772286503,0.026687890661620323,0.5131578947368421
EUR_USD,fx_return_1m,1,no_change,228,0.019965690200182948,0.026572898695930686,0.0
EUR_USD,fx_return_1m,1,random_walk,228,0.019965690200182948,0.026572898695930686,0.0
EUR_USD,fx_return_1m,1,real_rate_diff,228,0.02019752978179062,0.02687223638298248,0.43859649122807015
EUR_USD,fx_return_1m,1,ridge,228,0.02015217135042403,0.027526425397719934,0.5833333333333334
EUR_USD,fx_return_1m,1,rolling_mean_36m,228,0.020346767779201202,0.027093954118833325,0.4649122807017544
EUR_USD,fx_return_3m,3,carry_diff,228,0.034951137948405625,0.0463232668566766,0.49122807017543857
EUR_USD,fx_return_3m,3,no_change,228,0.034578284076714635,0.045708328381013776,0.0
EUR_USD,fx_return_3m,3,random_walk,228,0.034578284076714635,0.045708328381013776,0.0
EUR_USD,fx_return_3m,3,real_rate_diff,228,0.035750964810945834,0.047227015951144334,0.40789473684210525
EUR_USD,fx_return_3m,3,ridge,228,0.035631243583621804,0.04660000173150209,0.6535087719298246
EUR_USD,fx_return_3m,3,rolling_mean_36m,228,0.035402040899261834,0.04712431054574841,0.4692982456140351
EUR_USD,fx_return_6m,6,carry_diff,226,0.053711922135096964,0.06880115437521236,0.4911504424778761
EUR_USD,fx_return_6m,6,no_change,226,0.052950097212720704,0.06716542400904976,0.0
EUR_USD,fx_return_6m,6,random_walk,226,0.052950097212720704,0.06716542400904976,0.0
EUR_USD,fx_return_6m,6,real_rate_diff,226,0.055212288786654844,0.07087066471757392,0.415929203539823
EUR_USD,fx_return_6m,6,ridge,226,0.05082126115426104,0.06762308627856223,0.6504424778761062
EUR_USD,fx_return_6m,6,rolling_mean_36m,226,0.05416260151473733,0.06984254767094399,0.5221238938053098
GBP_USD,fx_return_1m,1,carry_diff,231,0.01980609289027414,0.025871985825555947,0.462882096069869
GBP_USD,fx_return_1m,1,no_change,231,0.019674564845148478,0.02567518078798166,0.0
GBP_USD,fx_return_1m,1,random_walk,231,0.019674564845148478,0.02567518078798166,0.0
GBP_USD,fx_return_1m,1,real_rate_diff,231,0.01995281550298724,0.026056167878589404,0.42358078602620086
GBP_USD,fx_return_1m,1,ridge,231,0.0202753798396078,0.02631635957648122,0.4672489082969432
GBP_USD,fx_return_1m,1,rolling_mean_36m,231,0.019958913277842133,0.02615865842479594,0.4759825327510917
GBP_USD,fx_return_3m,3,carry_diff,231,0.036189689909506696,0.04864257082064814,0.45021645021645024
GBP_USD,fx_return_3m,3,no_change,231,0.03576888319600675,0.04773167045447118,0.0
GBP_USD,fx_return_3m,3,random_walk,231,0.03576888319600675,0.04773167045447118,0.0
GBP_USD,fx_return_3m,3,real_rate_diff,231,0.037051705821687396,0.049543291729503794,0.39826839826839827
GBP_USD,fx_return_3m,3,ridge,231,0.03791488645315812,0.050018391787159104,0.42424242424242425
GBP_USD,fx_return_3m,3,rolling_mean_36m,231,0.03634036480325205,0.04889081970183395,0.5454545454545454
GBP_USD,fx_return_6m,6,carry_diff,231,0.053104848908921594,0.07276335419502995,0.4329004329004329
GBP_USD,fx_return_6m,6,no_change,231,0.05226821068646095,0.0705951001440429,0.0
GBP_USD,fx_return_6m,6,random_walk,231,0.05226821068646095,0.0705951001440429,0.0
GBP_USD,fx_return_6m,6,real_rate_diff,231,0.055299420579888195,0.07509357507168403,0.33766233766233766
GBP_USD,fx_return_6m,6,ridge,231,0.057164372709145275,0.07489283049903707,0.42857142857142855
GBP_USD,fx_return_6m,6,rolling_mean_36m,231,0.054260378647188925,0.07292502048578758,0.5108225108225108
USD_CAD,fx_return_1m,1,carry_diff,231,0.018913220399909635,0.025709508979815967,0.5064935064935064
USD_CAD,fx_return_1m,1,no_change,231,0.018917237355176593,0.025635849274427545,0.0
USD_CAD,fx_return_1m,1,random_walk,231,0.018917237355176593,0.025635849274427545,0.0
USD_CAD,fx_return_1m,1,real_rate_diff,231,0.01891152385865822,0.025805318651377245,0.5324675324675324
USD_CAD,fx_return_1m,1,ridge,231,0.018840084064567435,0.025859209786864443,0.5411255411255411
USD_CAD,fx_return_1m,1,rolling_mean_36m,231,0.019046937154022,0.026038775168230315,0.49783549783549785
USD_CAD,fx_return_3m,3,carry_diff,231,0.03138827869215362,0.04289485124798558,0.47186147186147187
USD_CAD,fx_return_3m,3,no_change,231,0.031097788784558433,0.04252955440673156,0.0
USD_CAD,fx_return_3m,3,random_walk,231,0.031097788784558433,0.04252955440673156,0.0
USD_CAD,fx_return_3m,3,real_rate_diff,231,0.03167910931080557,0.0433320390017474,0.4458874458874459
USD_CAD,fx_return_3m,3,ridge,231,0.03116317039498486,0.04257936922873445,0.5541125541125541
USD_CAD,fx_return_3m,3,rolling_mean_36m,231,0.031759068717961816,0.04338506514992437,0.48917748917748916
USD_CAD,fx_return_6m,6,carry_diff,231,0.04402949121731863,0.06002815034932734,0.45021645021645024
USD_CAD,fx_return_6m,6,no_change,231,0.04333989247953913,0.05915017088445292,0.0
USD_CAD,fx_return_6m,6,random_walk,231,0.04333989247953913,0.05915017088445292,0.0
USD_CAD,fx_return_6m,6,real_rate_diff,231,0.045037062455961646,0.06142884954254478,0.41125541125541126
USD_CAD,fx_return_6m,6,ridge,231,0.04303100026923828,0.05870072749649144,0.6103896103896104
USD_CAD,fx_return_6m,6,rolling_mean_36m,231,0.04558211466086812,0.06091847923932608,0.47619047619047616
USD_JPY,fx_return_1m,1,carry_diff,147,0.01867580392288363,0.025129425168514803,0.4794520547945205
USD_JPY,fx_return_1m,1,no_change,147,0.018609305479350635,0.02509899363412593,0.0
USD_JPY,fx_return_1m,1,random_walk,147,0.018609305479350635,0.02509899363412593,0.0
USD_JPY,fx_return_1m,1,real_rate_diff,147,0.01851133329811885,0.025130932829181014,0.5753424657534246
USD_JPY,fx_return_1m,1,ridge,147,0.01953187095049267,0.025869246336940876,0.5342465753424658
USD_JPY,fx_return_1m,1,rolling_mean_36m,147,0.018541144935238264,0.02526379387367721,0.5684931506849316
USD_JPY,fx_return_3m,3,carry_diff,147,0.03343775176640103,0.04566773424076239,0.47619047619047616
USD_JPY,fx_return_3m,3,no_change,147,0.03331952167385346,0.04553031842265862,0.0
