period,interest_rate,inflation_yoy,growth_proxy_yoy
1960-01-31,3.99,1.2333147077216073,9.564153287231042
1960-02-29,3.97,1.403892257942956,6.731101546891566
1960-03-31,3.84,1.507394078464464,4.398656245472597
1960-04-30,3.92,1.9139340210697287,1.4953222334699745
1960-05-31,3.85,1.8086143907790624,-0.1141036940264061
1960-06-30,3.32,1.7030384355968042,-1.493599774971647
1960-07-31,3.23,1.3628831055605837,0.5822495717973932
1960-08-31,2.98,1.4628599018860384,3.9127271278765794
1960-09-30,2.6,1.2232568435634452,2.9817920351511438
1960-10-31,2.47,1.353658571753332,3.5930837049215314
1960-11-30,2.44,1.454448098175746,1.563658884306111
1960-12-31,1.98,1.3509155124076384,-6.3626345708396235
1961-01-31,1.45,1.5876030125031355,-8.83273708618823
1961-02-28,2.54,1.451502276965634,-8.060415410767414
1961-03-31,2.02,1.451502276965634,-6.551865952943051
1961-04-30,1.49,0.9098630586746419,-3.721446028497175
1961-05-31,1.98,0.9089441471174197,-2.0786150998096296
1961-06-30,1.73,0.7737633222060285,0.5768744006162733
1961-07-31,1.17,1.2443409254169406,2.0690584628427025
1961-08-31,2.0,1.108323687798255,3.091074795922875
1961-09-30,1.88,1.2418350560951836,4.030639815565142
1961-10-31,2.26,0.7701360682812984,6.048788767519745
1961-11-30,2.61,0.6693465418588799,9.009027548828325
1961-12-31,2.33,0.6686751762295821,11.805607758607707
1962-01-31,2.15,0.6680051560373788,10.815202938181478
1962-02-28,2.37,0.9007567158082449,12.559145013225434
1962-03-31,2.85,1.0998277835409658,12.48772932519375
1962-04-30,2.78,1.332908770860062,10.666648968439338
1962-05-31,2.36,1.3315775975772155,9.031082002981403
1962-06-30,2.68,1.2323220063020441,7.427462493304278
1962-07-31,2.71,0.9976803738317,7.239935919214724
1962-08-31,2.93,1.1292049577765704,6.439668388432848
1962-09-30,2.9,1.4569794156695235,7.184739734339648
1962-10-31,2.9,1.3254004493175149,5.3889281975679655
1962-11-30,2.94,1.3254004493175149,4.269189901444768
1962-12-31,2.93,1.2253837715351048,3.4006465608883185
1963-01-31,2.92,1.3227706097551126,4.998414583491813
1963-02-28,3.0,1.2213388324803143,4.51091844823661
1963-03-31,2.98,1.1206445557608444,4.588874099334013
1963-04-30,2.9,0.889773541986479,5.288546106002948
1963-05-31,3.0,0.8888947417246215,6.600480249848008
1963-06-30,2.99,1.315375755874038,7.112727295421979
1963-07-31,3.02,1.5432911787051382,5.757205031614092
1963-08-31,3.49,1.540256568327892,5.850945570860263
1963-09-30,3.48,0.9813621448324452,6.2107247329845165
